	input
51	Majyambere Florent, uhagarariye Nyabihu Tourism, yavuze ko ibikoresho bahawe bizabafasha kumenya inyoni zikunze kuza mu gace barimo bitewe n’igihe runaka.
52	Eric Musanganya, ukuriye amashyirahamwe y’amahoteli mu Rwanda, yatangarije ikinyamakuru the East African ko uru rwego rukwiye kwisubiraho.
53	Ibi byatewe nuko nyuma ya Jenoside yo mu 1994 hari Abanyarwanda batahutse bagatura muri bimwe mu bice byari bigize parike.
54	aha bakaba batunga agatoki inzovu Mutware, uretse ko hari imvubu zituriye mu mariba y’inka nazo zibivugana bagiye kuhira amatungo.
55	Ukuriye ishami ry’ubukerarugendo muri RDB, Rica Rwigamba, yatangarije Reuters ko kuva mu kwa mbere kugeza mu kwa munani 2011, u Rwanda rwakiriye ba mukerarugendo basaga 593.
56	Gusura Pariki ya Nyungwe irimo amako menshi y’Inkende, Gusura pariki y’ Akagera 2.
57	Iyo witegereje mu minsi yubu usanga ikintu cy’ubusugi gisa naho kigenda gitakaza agaciro kuko mu rubyiruko hari kugenda hagaragaramo inda z’indaro nyinshi.
58	Ariane Nayituliki yegukanye umwanya wa kabiri igisonga cya mbere naho Liliane Umutoni yegukana umwanya wa gatatu igisonga cya kabiri.
59	Mutakwasuku yagize ati ubutore bwanyu ntibuzabe amasigaracyicaro kuko igihugu cyababyaye kirabakeneye.
60	Ikindi ngo iyo umugore atangiye kugenda ahindura imico bituma urukundo rugabanuka n’imibiri igahagana bigatuma umugabo ajya gushaka umunezero ahandi.
61	Ujya kumva umuntu arihanukiriye ngo abwiye undi ko ageze i Nyanza kandi ubwo ni bwo bakigera mu Ruhango bagana i Butare.
62	abafiyanse fiancs bagomba gufata ka avance kubera ko mugomba kumvana, mwakumva mudahuje mugafata ibyemezo amazi atararenga inkombe.
63	Gatayire Marie Claire, uyobora umuryango w’Abanyeshuri barangije kaminuza, yatubwiye ko ari igikorwa basanganwe cyo guhura nk’abahoze ari abanyamuryango ba AERG ubwo bari bakiri ku ntebe y’ishuli biga.
64	Iki kigo gifite uburambe mu kubika ubutumwa bw’amajwi, amashusho ndetse n’inyandiko ku birebana n’amateka ya Jenoside.
65	Dushyire hamwe dukunde umuco kuko niwo shingiro ry’amahoro.
66	Ngo aho aba asa n’uwambaye ubusa, kandi ng’ubundi mu muco nyarwanda, umunyarwandakazi agomba kwambara akikwiza.
67	Muri Jenoside yabuze abana be babiri ndetse na se ubabyara.
68	Kuri uwo munsi abatari bake bakoze urugendo bashishikariza abantu kugaragaza uruhare rwabo mu gushyigikira amahoro.
69	Mu kiganiro twagiranye kandi yatubwiye ko mu bushakashatsi bwakozwe n’ikigo cy’ubushakashatsi n’ubusabane bigamije amahoro, basanze umuntu urangwa n’ubupfura hamwe n’ubworoherane ari we ugira uruhare mu kubaka amahoro kd akanayaharanira.
70	Uyu muhango watangijwe n’urugendo walk to remember rwatangiriye ku Nteko Ishingamategeko ya Canada rugera ku biro by’umujyi wa Ottawa ahabereye imihango yo kwibuka.
71	Abo bahanzi babanje gusura urwibutso rwa Ntarama aho basobanuriwe amateka yaho ndetse n’iyicwarubozo ryahabereye.
72	Kuba abanyamahanga baramaze igihe babona Umunyarwanda wese nk’umwicanyi, Abanyarwanda bose bakwiye gufatanya kwiyambura icyo gisebo barwanya ingengabitekerezo ya Jenoside aho iva ikagera.
73	Avuga ko ihungabana riterwa na Jenoside yakorewe Abatutsi ritagirwa gusa n’abacitse ku icumu kuko n’abandi bashobora kurigira kubera ibyo babonye, bakoze cyangwa bumvise muri icyo gihe cya Jenoside.
74	Umuyobozi w’akarere ka Nyamasheke, Habyarimana Jean Baptiste,Twe twamaze amezi atatu yose muri Jenoside kuko twari muri zone turquoise.
75	Avuga ko avuka mu muryango w’abantu 10 ariko niwe wenyine washoboye kurokoka.
76	Kugeza ubu ntibiramenyekana niba Rutayisire yaragejejwe imbere y’ubutabera, niba akiri mu buroko cyangwa niba yarafunguwe.
77	Uwase yagize ati bakimbona banze kwemera aho nari ndi, kandi ambulance yanzanye nanjye ntabizi ubwo se barabona nari kubwira muganga ngo mperekeza ungeze iwacu.
78	Umuyobozi uhagarariye u Rwanda mu Buhindi, Williams Nkurunziza, yavuze ko Jenoside yakorewe Abatutsi muri 1994 itazongera ukundi.
79	Ikindi yongeraho ni uko uwari Perezida w’u Rwanda, Juvenal Habyarimana ,akimara gupfa basabye abantu kuguma mu ngo banabizeza umutekano.
80	Ntiwishe kandi ntabwo wahigwaga ndetse wari ukuze ushobora gutanga ubuhamya ndetse ukabutanga neza kurusha bariya bana bari bafite imyaka itandatu muri Jenoside.
81	Uhagarariye abacitse ku icumu mu karere ka Burera, Niyonsenga Fabien, avuga ko abacitse ku icumu bo muri ako karere baharaniye kwiyubaka.
82	Yagize ati Icyo dukwiye gukora ni uguharanira ubumwe nk’uko Leta yacu ibidushishikariza, tukirinda ibidukandukanya ahubwo tugahuriza umugozi umwe dufasha abafite intege nke tukagera ku iterambere.
83	Twigire ku mateka turusheho kubaka ejo hazaza.
84	Nubwo hari byinshi byagezweho, abacitse ku icumu muri aka karere basabye ko bafashwa mu bijyanye n’ubuvuzi kuko hagenda hagaragara abacitse ku icumu bagihura n’ibikomere batewe na Jenoside.
85	Mu muhango wo gutangiza icyumweru cyo kwibuka ku nsuro ya 18 Jenoside yakorewe Abatutsi mu karere ka Nyamasheke, hakusanyije inkunga ingana n’ibihumbi 104, akaba yiyongereye kuyo bari basanganywe.
86	Munyaneza Jean Baptiste ukuriye ihuriro ry’Abarokotse Jenoside yagize ati Amahano ya Jenoside yabaye ndengakamere atwara abacu benshi.
87	Kabanda yasabye Abanyarubavu kwita kuri abo bana ndetse n’abapfakazi.
88	Nababwiraga ko mu mahirwe miliyoni na miliyoni, nta mahirwe bafitemo kugira ngo badusubize inyuma kuko bidashoboka.
89	Perezida wa IBUKA yagarutse ku kibazo cy’ihungabana asaba ko hashyirwaho uburyo buhoraho bwo kwita ku kibazo cy’ihungabana gikomeza kugaragara mu bacikacumu.
90	Ibyo bazifashisha harimo indirimbo bakoze n’abahanzi batoranyijwe mu Ntara y’Amajyaruguru.
91	Nk’uko bigaragara kuri gahunda aka karere kihaye ku bijyanye no kwibuka, icyumweru cyahariwe kwibuka mu gihugu kizarangwa ahanini n’ibiganiro.
92	Kuri we, abibonamo ubushake bukeya bw’inzego z’ibanze mu kwishyuza imitungo y’abacitse ku icumu.
93	Yuma yo gusohoka muri Jenoside, u Rwanda rumaze gutera intambwe igaragara mu nzego zose haba mu buzima, mu burezi, mu buhinzi mu rwego rwo kuzamura iterambere ry’igihugu n’imiyoborere myiza.
94	Aba baturage bavuga ko bishimiye kubona amazu yabo bwite kuko ubuzima bwo kuba mu bukode butari buboroheye.
95	Abahawe inka basabwe kudakomeza gutegereza gahunda y’ingoboka ahubwo ko nabo bagomba kworora neza bakazagoboka bagenzi babo batishoboye nk’uko byatangajwe n’umuyobozi w’akarere wungirije ushinzwe imibereho myiza, Nyiraneza Clothilde.
96	Uwiringiyimana yibukije urubyiruko ko rudakwiye gufata igihe cyo kwibuka nk’igihe cyo kwiryamira cyangwa guhura n’incuti bitwaje ko bagiye ahabera igikorwa cyo kwibuka.
97	Uyu muhango watangijwe n’urugendo walk to remember rwatangiriye ku Nteko Ishingamategeko ya Canada rugera ku biro by’umujyi wa Ottawa ahabereye imihango yo kwibuka.
98	Abo bahanzi babanje gusura urwibutso rwa Ntarama aho basobanuriwe amateka yaho ndetse n’iyicwarubozo ryahabereye.
99	Kuba abanyamahanga baramaze igihe babona Umunyarwanda wese nk’umwicanyi, Abanyarwanda bose bakwiye gufatanya kwiyambura icyo gisebo barwanya ingengabitekerezo ya Jenoside aho iva ikagera.
100	Avuga ko ihungabana riterwa na Jenoside yakorewe Abatutsi ritagirwa gusa n’abacitse ku icumu kuko n’abandi bashobora kurigira kubera ibyo babonye, bakoze cyangwa bumvise muri icyo gihe cya Jenoside.
101	Umuyobozi w’akarere ka Nyamasheke, Habyarimana Jean Baptiste,Twe twamaze amezi atatu yose muri Jenoside kuko twari muri zone turquoise.
102	Avuga ko avuka mu muryango w’abantu 10 ariko niwe wenyine washoboye kurokoka.
103	Kugeza ubu ntibiramenyekana niba Rutayisire yaragejejwe imbere y’ubutabera, niba akiri mu buroko cyangwa niba yarafunguwe.
104	Uwase yagize ati bakimbona banze kwemera aho nari ndi, kandi ambulance yanzanye nanjye ntabizi ubwo se barabona nari kubwira muganga ngo mperekeza ungeze iwacu.
105	Umuyobozi uhagarariye u Rwanda mu Buhindi, Williams Nkurunziza, yavuze ko Jenoside yakorewe Abatutsi muri 1994 itazongera ukundi.
106	Ikindi yongeraho ni uko uwari Perezida w’u Rwanda, Juvenal Habyarimana ,akimara gupfa basabye abantu kuguma mu ngo banabizeza umutekano.
107	Ntiwishe kandi ntabwo wahigwaga ndetse wari ukuze ushobora gutanga ubuhamya ndetse ukabutanga neza kurusha bariya bana bari bafite imyaka itandatu muri Jenoside.
108	Uhagarariye abacitse ku icumu mu karere ka Burera, Niyonsenga Fabien, avuga ko abacitse ku icumu bo muri ako karere baharaniye kwiyubaka.
109	Yagize ati Icyo dukwiye gukora ni uguharanira ubumwe nk’uko Leta yacu ibidushishikariza, tukirinda ibidukandukanya ahubwo tugahuriza umugozi umwe dufasha abafite intege nke tukagera ku iterambere.
110	Twigire ku mateka turusheho kubaka ejo hazaza.
111	Nubwo hari byinshi byagezweho, abacitse ku icumu muri aka karere basabye ko bafashwa mu bijyanye n’ubuvuzi kuko hagenda hagaragara abacitse ku icumu bagihura n’ibikomere batewe na Jenoside.
112	Mu muhango wo gutangiza icyumweru cyo kwibuka ku nsuro ya 18 Jenoside yakorewe Abatutsi mu karere ka Nyamasheke, hakusanyije inkunga ingana n’ibihumbi 104, akaba yiyongereye kuyo bari basanganywe.
113	Munyaneza Jean Baptiste ukuriye ihuriro ry’Abarokotse Jenoside yagize ati Amahano ya Jenoside yabaye ndengakamere atwara abacu benshi.
114	Kabanda yasabye Abanyarubavu kwita kuri abo bana ndetse n’abapfakazi.
115	Nababwiraga ko mu mahirwe miliyoni na miliyoni, nta mahirwe bafitemo kugira ngo badusubize inyuma kuko bidashoboka.
116	Perezida wa IBUKA yagarutse ku kibazo cy’ihungabana asaba ko hashyirwaho uburyo buhoraho bwo kwita ku kibazo cy’ihungabana gikomeza kugaragara mu bacikacumu.
117	Ibyo bazifashisha harimo indirimbo bakoze n’abahanzi batoranyijwe mu Ntara y’Amajyaruguru.
118	Nk’uko bigaragara kuri gahunda aka karere kihaye ku bijyanye no kwibuka, icyumweru cyahariwe kwibuka mu gihugu kizarangwa ahanini n’ibiganiro.
119	Kuri we, abibonamo ubushake bukeya bw’inzego z’ibanze mu kwishyuza imitungo y’abacitse ku icumu.
120	Yuma yo gusohoka muri Jenoside, u Rwanda rumaze gutera intambwe igaragara mu nzego zose haba mu buzima, mu burezi, mu buhinzi mu rwego rwo kuzamura iterambere ry’igihugu n’imiyoborere myiza.
121	Aba baturage bavuga ko bishimiye kubona amazu yabo bwite kuko ubuzima bwo kuba mu bukode butari buboroheye.
122	Abahawe inka basabwe kudakomeza gutegereza gahunda y’ingoboka ahubwo ko nabo bagomba kworora neza bakazagoboka bagenzi babo batishoboye nk’uko byatangajwe n’umuyobozi w’akarere wungirije ushinzwe imibereho myiza, Nyiraneza Clothilde.
123	Uwiringiyimana yibukije urubyiruko ko rudakwiye gufata igihe cyo kwibuka nk’igihe cyo kwiryamira cyangwa guhura n’incuti bitwaje ko bagiye ahabera igikorwa cyo kwibuka.
124	Nubwo ibihugu byinshi byo muri Afurika bihuriye mu muryango w’Afurika yunze ubumwe ubuhahirane hagati y’ibihugu ntibukomeye kandi hari ibyo ibihugu bishobora guhahirana.
125	Mu kiganiro aba banyonzi twagiranye, n’akababaro kenshi badutangarije ko uyu mwanzuro utabashimishije dore ko bamwe muri bo bamaze hafi imyaka ine bakorera kuri uyu muhanda.
126	Kevin Mukotanyi, ushinzwe ibikorwa bya Tigo i Rubavu, yatangaje ko gufungura aya amashami ari ukwegereza Abanyarubavu serivisi batajyaga babona nka telefoni, SIM swap, Tigo cash n’ibindi.
127	Umwe muri aba bacuruzi witwa Uwimana Jeanne, avuga ko aba yaranguye kugirango yunguke atunge umuryango we.
128	Bralirwa yongeraho ko ibindi binyobwa by’inzoga ikora byagiye bijyana n’impinduka z’ibiciro byifashishwa mu kubikora kuva mu mwaka wa 2008 ariko ibiciro bya fanta byo byari bitarahinduka.
129	Nkurunziza Jean Baptiste avuga ko impamvu abantu bamwe bajya mu bucuruzi bwa kanyanga ari ugushaka imibereho.
130	ku ngunguru imwe y’ ibigori nshobora kungukaho amafaranga 1000 nkishyura umusoro wa 400 ndetse n’inkwi za 500 ngasigarana 100 gusa.
131	Hari hashize hafi imyaka itanu South African Airways ihagaritse ingendo zayo mu Rwanda.
132	Girma wake agiye kuyobora Rwandair nyuma y’imyaka 37 akorera companyi y’indege ya Ethiopian Airlines 15 muri yo yari umuyobozi mukuru w’iyo companyi.
133	Yongeyeho ko RURA izagerageza guhura n’abashinzwe gutwara abantu barimo abafite ibinyabiziga kugira ngo barebe icyakorwa.
134	Abagenzi bavuga ko amafaranga yagabanijweho ari menshi ku buryo byaba byiza n’ibiciro by’ingendo bigabanijwe kuko ari byo byagirira akamaro abaturage benshi.
135	Rutikanga wo mu Murenge wa Gatunda mu Karere ka Nyagatare yagize ati Nk’inyama ni ukuzivaho, naho ubundi twazicwa n’inzara.
136	Minisitiri yavuze ko ibiciro byagabanutse kubera ko Leta yagabanyije imisoro yo ku bikomoka kuri peteroli guhera tariki 16 Mutarama 2012 mu Rwanda ariko no ku rwego mpuzamahanga byagabanutseho gato.
137	Mudidi Emmanuel, ukuriye iyo komisiyo, yagize ati Twagiye ahantu henshi tuhasanga ibibazo ariko hano tuhasanze ibisubizo.
138	Yagize ati aha hantu ni nk’uburozi pe ku nguka ni gake gashoboka ariko iyo wungutse rimwe uhita wibagirwa ko wigeze guhomba.
139	Kugeza ubu isukari ikoreshwa mu Rwanda nyinshi ivanwa mu mahanga kuko muri toni 75 zikoreshwa ubu, uruganda rw’isukari rwa Kabuye Sugar Works rubasha gukora toni icumi zonyine.
140	Bimwe mu bigo byiyongereye kuri 43 byari bisanzwe harimo E.
141	Ibi birakaza abagenzi cyane ku buryo usanga baterana amagambo na shoferi, dore ko ari we wakira amafaranga.
142	Uje afite amafaranga icumi ntagenda ubusa kuko amukata litro eshatu y’amazi.
143	Yitwaje akadobo gato kavuyemo isabune ya OMO atwayemo inyama zigera ku ndiba mu gihe we avuga ko ahahiye umuryango mugari.
144	Kuva icyo gihe abaricururizagamo baratatanye bituma havuka udusoko twinshi dutandukanye.
145	Turagira ngo mu iteganyangamba ry’uyu mwaka tuzashyiremo ibyo twabwiwe n’abacuruzi.
146	Mu mwaka wa 2009 nibwo urugaga rw’abikorera bubifashijwemo na sosiyete Gimco LTD Co.
147	Yavuze ko imurika gurisha rigaragaza aho abanyarwanda bageze mu iterambere kuko rituma abantu bashobora kungurana ibitekerezo rikaba n’ishuri benshi baboneramo ibyo batari bazi bagashobora no kwiga kubikora.
148	Sebutege avuga ko mu minsi izanzwe Abarundi bambuka bari hagati ya 800 n’igihumbi, naho kuwa kabiri, kuwa gatanu ndetse no kuwa gatandatu no kucyumweru hambuka n’abari hejuru y’igihumbi.
149	Guverinoma yihaye intego yo kwita ku bwikozi bw’indege kandi izakomeza gukorana n’abafatanyabikorwa mu kuzamura imikorere y’uru rwego.
150	Mu mwaka wa 2010, banki y’ubucuruzi y’u Rwanda yageze ku rwunguko rwa miliyoni 4.
151	Kuri ubu usanga abacuruzi bakorera hafi aho ndetse no muri Quartier Commercial amaganya yabarenze kuko imodoka zazanaga abakiriya zitakiharangwa.
152	Ibiribwa bitumizwa hanze nko muri Kenya bigira uruhare mu izamuka ry’ibiciro no mu guta agaciro kw’ifaranga ryacu, kuko nabyo biba byaguzwe mu mafaranga atagifite agaciro.
153	bikaba byaratangajwe n’umyobozi wa ATRACO ndetse n’uwa ATPR Rwanda Persons Transporters Association - ATPR.
154	Hamwe mu hatoranyijwe hazitabwaho mu gukorera inyigo harimo Musebeya na Muhanga mu ntara y’Amajyepfo hamwe no mu karere ka Nyagatare na Kirehe mu ntara y’Iburasirazuba.
155	gahunda ya mbere duteganya ni ugushyira ingufu mu gufasha ibigo binini n’ibiciriritse mu gutera imbere, bigasugira bigasagamba bikaba byanatanga imirimo.
156	Ibi byasobanuwe na Minisitiri w’Ibikorwa remezo ushinzwe ingufu, amazi n’isuku Emma Francoise Isumbingabo.
157	Imibare itangwa n’ubuyobozi bw’umujyi wa Kigali yerekana ko hakenewe nibura kubakwa amazu yo kubamo mashya 25000 ariko ashobora kubakwa ni 300 gusa.
158	Yagize nkaho twavanaga toni eshatu dufite ibikoresho bihagije kandi bidufasha kwihuta nk’ibiterura imicanga twahakura esheshatu.
159	Ayang yagize ati Abanyamakompanyi bakwiye gukoresha umutungo wabo mu kuzamura ubukungu bw’igihugu.
160	Minisitiri w’Intebe yasabye ikigo gishinzwe gukwirakwiza amazi n’amashanyarazi EWSA kwihutisha imirimo y’ingufu z’amashanyarazi na byo bikazarangirana n’ukwezi kwa 122012.
161	Kuva mu kwezi kwa cyenda k’umwaka ushize ubwo aba baturage bimurwaga mu masambu ya bo bahise basabwa gutanga ibyangombwa by’ubutaka kugira ngo bishyurwe.
162	Minisitiri w’Intebe yagize ati Kugera ku gikorwa nk’iki kizatwara miliyari ebyiri z’amafaranga y’u Rwanda nta nkunga yo hanze mwatse bitanga icyizere cy’ejo hazaza h’Abanyarwanda.
163	Abakoze inyigo y’uru ruganda bavuga ko ibisigazwa bya soya bishobora kuvangwa n’ibigori bikavamo ibiryo byiza bifite intungamubiri ku matungo.
164	Uretse kuba uru ruganda ruzongera amavuta mu Rwanda, ruzanatanga akazi ku baturage baturanye na rwo.
165	Agace ka Rubaya kabonetsemo zahabu gaherereye mu ntara y’amajyaruguru kandi hari utundi duce dushobora kuzagaragaramo zahabu nk’uko itangazo rya Desert Gold ribivuga.
166	Mu rwego rwo gufasha urubyiruko ruto kwitabira kuba barwiyemezamirimo, hateganyijwe igihembo kizahabwa rwiyemezamirimo ukiri muto w’umwaka hamwe no guhemba rwiyemezamirimo w’umugore w’umwaka mu gushishikariza abagore kuba barwiyemezamirimo.
167	Umukozi ushinzwe imali mu mushinga SPARK, Murekatete yagize ati Sinzi icyabiteye kuko twakoze ibishoboka byose kugira ngo duhe amahirwe ibitekerezo by’imishinga yabo ariko umubare wanga kuzura.
168	Bibanda cyane mu ishoramari mu bijyanye n’ubuhinzi-bworozi, ingufu n’inganda.
169	Abashoramari bashaka kugihingamo ibisheke ndetse bakanubaka uruganda ruyitunganya bifuza ko bahabwa nibura umutaka kungana na hegitari ibihumbi icumi.
170	Kubera impamvu z’umubare munini wacyitabiriye, iki kizamini cyasubitswe hafatwa icyemezo cyo gusaba indangamanota iri hejuru y’amanota 70 kugira ngo nibura babashe kubona umubare muto wakoreshwa ikizamini.
171	Umushinga DOT ukorana n’urubyiruko rufite imyaka iri hagati ya 16 na 40.
172	Ingaga z’abikorera mu bihugu byombi biyemeje gukuraho ikintu cyose gishobora kubangamira ubufatanye mu by’ubucuruzi mu bihugu byombi.
173	Ukuriye imirimo yo kubaka urwo ruganda, Igr Rwizinkindi Dominique, avuga ko bakoze iyigo babifashijwemo na sosiyete y’Abashinwa basanze amabuye y’urwo rutare azavamo amakaro meza.
174	Iyi nkunga kandi igomba gukoreshwa mu kongera ibigo by’imari biciriritse ndetse n’amasosiyete akomeye akorana na BK bikava ku 4.
175	U Rwanda kimwe n’ibindi bihugu byinshi byo muri Afurika ndetse n’ibindi bikiri mu nzira y’amajyambere usanga ibyinjira mu gihugu biba biruta ibisohoka hanze y’igihugu.
